Battery, Cycle_No, Date, Time, Reading_number, Voltage_measured, Current_measured, Temperature_measured, Current_load, Voltage_load, Time_vector,Capacity
B0018, 3, 2008-07-07, 14:43:14.62, 1, 4.188109, 0.000131, 23.819520, 0.000600, 0.000000, 0.000000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 2, 4.188196, 0.001459, 23.828807, 0.000600, 4.203000, 9.422000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 3, 3.977432, -2.005672, 23.844944, 1.998800, 3.029000, 19.578000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 4, 3.961974, -2.012206, 23.925577, 1.998800, 3.026000, 29.016000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 5, 3.949835, -2.012005, 24.010628, 1.998800, 3.015000, 38.485000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 6, 3.939550, -2.007285, 24.103192, 1.998800, 3.005000, 47.906000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 7, 3.930454, -2.009340, 24.191621, 1.998800, 2.997000, 57.328000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 8, 3.922180, -2.010267, 24.294344, 1.999000, 2.987000, 66.750000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 9, 3.914649, -2.010024, 24.382616, 1.998800, 2.979000, 76.156000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 10, 3.907585, -2.008671, 24.476315, 1.998800, 2.974000, 85.594000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 11, 3.901268, -2.010624, 24.574578, 1.999000, 2.965000, 95.031000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 12, 3.895215, -2.009617, 24.667372, 1.998800, 2.960000, 104.391000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 13, 3.889690, -2.007814, 24.760583, 1.998800, 2.956000, 113.766000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 14, 3.884242, -2.011540, 24.859498, 1.998800, 2.953000, 123.125000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 15, 3.879127, -2.008096, 24.962199, 1.998800, 2.949000, 132.531000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 16, 3.874533, -2.011376, 25.047867, 1.998800, 2.945000, 141.938000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 17, 3.869966, -2.009757, 25.150631, 1.999000, 2.943000, 151.328000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 18, 3.865586, -2.012295, 25.245960, 1.998800, 2.939000, 160.735000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 19, 3.861323, -2.007549, 25.334606, 1.999000, 2.937000, 170.125000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 20, 3.857542, -2.008059, 25.416169, 1.998800, 2.933000, 179.531000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 21, 3.853373, -2.009811, 25.518120, 1.998800, 2.930000, 188.938000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 22, 3.849751, -2.010164, 25.604065, 1.998800, 2.927000, 198.344000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 23, 3.845968, -2.008695, 25.705917, 1.998800, 2.924000, 207.719000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 24, 3.842361, -2.007647, 25.786741, 1.999000, 2.922000, 217.172000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 25, 3.839135, -2.011691, 25.877057, 1.998800, 2.919000, 226.578000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 26, 3.835813, -2.007391, 25.966472, 1.998800, 2.916000, 235.938000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 27, 3.832242, -2.011685, 26.050684, 1.998800, 2.913000, 245.360000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 28, 3.829292, -2.008501, 26.134296, 1.998800, 2.910000, 254.828000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 29, 3.826212, -2.007783, 26.220918, 1.998800, 2.907000, 264.188000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 30, 3.823184, -2.006959, 26.297412, 1.998800, 2.905000, 273.594000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 31, 3.820277, -2.007970, 26.389660, 1.998800, 2.902000, 283.000000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 32, 3.817240, -2.008994, 26.466869, 1.998800, 2.900000, 292.406000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 33, 3.814634, -2.006583, 26.557048, 1.998800, 2.897000, 301.860000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 34, 3.811730, -2.009970, 26.635499, 1.998800, 2.895000, 311.219000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 35, 3.809131, -2.011557, 26.712111, 1.998800, 2.892000, 320.563000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 36, 3.806443, -2.008790, 26.796182, 1.999000, 2.890000, 329.953000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 37, 3.803727, -2.008358, 26.876444, 1.999000, 2.887000, 339.328000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 38, 3.800884, -2.010552, 26.958983, 1.999000, 2.885000, 348.688000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 39, 3.798669, -2.006847, 27.034411, 1.998800, 2.883000, 358.063000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 40, 3.796116, -2.007064, 27.109058, 1.998800, 2.881000, 367.422000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 41, 3.793545, -2.007580, 27.186575, 1.998800, 2.879000, 376.828000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 42, 3.791215, -2.010957, 27.272409, 1.998800, 2.876000, 386.235000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 43, 3.788686, -2.011270, 27.338686, 1.998800, 2.874000, 395.625000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 44, 3.786470, -2.009310, 27.430480, 1.999000, 2.872000, 405.047000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 45, 3.784128, -2.005830, 27.506293, 1.998800, 2.870000, 414.469000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 46, 3.781509, -2.010893, 27.576816, 1.998800, 2.868000, 423.860000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 47, 3.779149, -2.008705, 27.651531, 1.998800, 2.865000, 433.266000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 48, 3.776946, -2.006783, 27.722729, 1.998800, 2.863000, 442.625000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 49, 3.774414, -2.011239, 27.798988, 1.999000, 2.861000, 452.125000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 50, 3.772025, -2.010286, 27.862061, 1.998800, 2.859000, 461.500000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 51, 3.769605, -2.012801, 27.938891, 1.998800, 2.857000, 470.860000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 52, 3.767358, -2.011042, 28.014326, 1.998800, 2.855000, 480.219000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 53, 3.765113, -2.008539, 28.074461, 1.998800, 2.853000, 489.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 54, 3.762686, -2.008875, 28.132980, 1.999000, 2.851000, 499.000000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 55, 3.760322, -2.008295, 28.207305, 1.998800, 2.848000, 508.391000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 56, 3.758001, -2.008844, 28.269848, 1.998800, 2.846000, 517.735000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 57, 3.755801, -2.008770, 28.327891, 1.998800, 2.843000, 527.078000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 58, 3.753273, -2.007617, 28.388499, 1.998800, 2.842000, 536.422000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 59, 3.751068, -2.008297, 28.456737, 1.998800, 2.839000, 545.813000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 60, 3.748847, -2.009536, 28.515361, 1.998800, 2.837000, 555.188000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 61, 3.746399, -2.008323, 28.573025, 1.998800, 2.835000, 564.547000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 62, 3.744251, -2.008193, 28.637021, 1.998800, 2.833000, 573.938000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 63, 3.741884, -2.009258, 28.689762, 1.998800, 2.831000, 583.313000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 64, 3.739740, -2.010079, 28.745647, 1.998800, 2.829000, 592.688000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 65, 3.737620, -2.010305, 28.789119, 1.998800, 2.826000, 602.047000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 66, 3.735313, -2.008868, 28.828343, 1.998800, 2.824000, 611.469000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 67, 3.733077, -2.009684, 28.879611, 1.998800, 2.822000, 620.906000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 68, 3.730963, -2.009462, 28.930783, 1.999000, 2.819000, 630.281000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 69, 3.728852, -2.009051, 28.984150, 1.999000, 2.817000, 639.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 70, 3.726625, -2.009273, 29.027379, 1.999000, 2.815000, 649.016000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 71, 3.724446, -2.006641, 29.057046, 1.999000, 2.813000, 658.406000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 72, 3.722349, -2.010899, 29.098689, 1.998800, 2.811000, 667.781000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 73, 3.720165, -2.008184, 29.146577, 1.998800, 2.809000, 677.172000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 74, 3.717992, -2.007581, 29.168632, 1.998800, 2.807000, 686.516000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 75, 3.715943, -2.009655, 29.205769, 1.999000, 2.805000, 695.922000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 76, 3.714094, -2.007428, 29.247004, 1.998800, 2.804000, 705.313000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 77, 3.711733, -2.007585, 29.279514, 1.999000, 2.801000, 714.735000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 78, 3.709806, -2.010718, 29.304468, 1.998800, 2.800000, 724.141000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 79, 3.707414, -2.009845, 29.337415, 1.998800, 2.797000, 733.500000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 80, 3.705499, -2.007489, 29.370830, 1.998800, 2.795000, 742.891000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 81, 3.703488, -2.009140, 29.394357, 1.999000, 2.793000, 752.281000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 82, 3.701370, -2.005762, 29.417088, 1.999000, 2.792000, 761.656000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 83, 3.699359, -2.010550, 29.450803, 1.999000, 2.789000, 771.031000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 84, 3.697341, -2.009159, 29.481681, 1.999000, 2.788000, 780.422000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 85, 3.695217, -2.009884, 29.496156, 1.998800, 2.786000, 789.844000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 86, 3.693208, -2.011206, 29.522424, 1.999000, 2.784000, 799.250000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 87, 3.691393, -2.010110, 29.548340, 1.999000, 2.781000, 808.656000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 88, 3.689321, -2.007413, 29.562298, 1.999000, 2.780000, 818.031000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 89, 3.686985, -2.008381, 29.581749, 1.999000, 2.778000, 827.438000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 90, 3.685118, -2.010756, 29.606404, 1.998800, 2.776000, 836.781000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 91, 3.683276, -2.008706, 29.624663, 1.998800, 2.774000, 846.188000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 92, 3.681184, -2.008258, 29.657598, 1.999000, 2.772000, 855.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 93, 3.679167, -2.010756, 29.675465, 1.999000, 2.770000, 865.031000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 94, 3.677153, -2.008601, 29.694332, 1.998800, 2.768000, 874.453000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 95, 3.675192, -2.007898, 29.709191, 1.999000, 2.766000, 883.828000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 96, 3.673117, -2.008404, 29.732867, 1.999000, 2.764000, 893.219000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 97, 3.671042, -2.008566, 29.754738, 1.998800, 2.763000, 902.578000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 98, 3.669296, -2.009167, 29.788139, 1.998800, 2.760000, 911.953000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 99, 3.667368, -2.009324, 29.804917, 1.999000, 2.759000, 921.328000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 100, 3.665349, -2.009306, 29.834390, 1.999000, 2.757000, 930.813000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 101, 3.663450, -2.008770, 29.863252, 1.999000, 2.754000, 940.188000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 102, 3.661481, -2.008750, 29.880557, 1.999000, 2.753000, 949.578000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 103, 3.659573, -2.007145, 29.895977, 1.999000, 2.751000, 958.953000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 104, 3.657626, -2.009998, 29.924633, 1.999000, 2.749000, 968.313000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 105, 3.655758, -2.010468, 29.941210, 1.998800, 2.747000, 977.703000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 106, 3.654000, -2.008584, 29.968572, 1.998800, 2.745000, 987.063000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 107, 3.651979, -2.010978, 30.005100, 1.999000, 2.743000, 996.391000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 108, 3.650078, -2.008535, 30.024062, 1.998800, 2.741000, 1005.797000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 109, 3.648215, -2.010037, 30.034662, 1.999000, 2.740000, 1015.156000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 110, 3.646509, -2.009962, 30.064585, 1.999000, 2.738000, 1024.516000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 111, 3.644614, -2.011122, 30.097067, 1.999000, 2.736000, 1033.891000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 112, 3.642608, -2.008365, 30.133171, 1.999000, 2.735000, 1043.266000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 113, 3.640872, -2.009411, 30.152572, 1.999000, 2.733000, 1052.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 114, 3.638994, -2.009771, 30.180268, 1.998800, 2.731000, 1062.031000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 115, 3.637068, -2.009142, 30.214348, 1.998800, 2.729000, 1071.375000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 116, 3.635443, -2.010294, 30.246403, 1.999000, 2.727000, 1080.781000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 117, 3.633527, -2.007970, 30.265963, 1.999000, 2.725000, 1090.266000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 118, 3.631700, -2.010205, 30.293175, 1.999000, 2.723000, 1099.672000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 119, 3.629929, -2.011213, 30.315945, 1.999000, 2.722000, 1109.156000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 120, 3.628132, -2.008685, 30.352382, 1.998800, 2.720000, 1118.516000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 121, 3.626152, -2.008724, 30.369397, 1.998800, 2.719000, 1127.906000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 122, 3.624366, -2.009129, 30.401858, 1.999000, 2.717000, 1137.328000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 123, 3.622763, -2.010653, 30.423229, 1.998800, 2.715000, 1146.735000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 124, 3.620911, -2.008351, 30.452935, 1.998800, 2.713000, 1156.110000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 125, 3.619175, -2.006957, 30.482683, 1.999000, 2.711000, 1165.578000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 126, 3.617432, -2.006321, 30.512559, 1.999000, 2.709000, 1174.985000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 127, 3.615426, -2.008177, 30.534748, 1.999000, 2.708000, 1184.485000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 128, 3.613984, -2.007921, 30.557563, 1.999000, 2.706000, 1193.875000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 129, 3.612061, -2.009722, 30.586779, 1.999000, 2.705000, 1203.281000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 130, 3.610323, -2.009567, 30.623029, 1.999000, 2.703000, 1212.672000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 131, 3.608604, -2.009487, 30.643385, 1.999000, 2.701000, 1222.078000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 132, 3.606930, -2.010440, 30.686727, 1.999000, 2.699000, 1231.516000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 133, 3.605104, -2.007674, 30.705970, 1.999000, 2.697000, 1240.906000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 134, 3.603441, -2.007061, 30.733604, 1.999000, 2.696000, 1250.297000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 135, 3.601901, -2.009725, 30.758457, 1.999000, 2.694000, 1259.672000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 136, 3.599944, -2.006223, 30.775989, 1.999000, 2.693000, 1269.063000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 137, 3.597981, -2.009544, 30.812059, 1.999000, 2.691000, 1278.406000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 138, 3.596587, -2.010628, 30.842412, 1.998800, 2.689000, 1287.781000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 139, 3.594793, -2.008253, 30.866168, 1.999000, 2.687000, 1297.188000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 140, 3.593295, -2.007066, 30.903957, 1.999000, 2.686000, 1306.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 141, 3.591388, -2.010264, 30.937575, 1.999000, 2.684000, 1316.047000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 142, 3.589633, -2.010241, 30.963622, 1.999000, 2.683000, 1325.438000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 143, 3.588072, -2.009975, 30.985714, 1.999000, 2.681000, 1334.797000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 144, 3.586346, -2.008905, 31.012518, 1.998800, 2.679000, 1344.235000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 145, 3.584817, -2.008842, 31.037580, 1.999000, 2.677000, 1353.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 146, 3.583196, -2.007230, 31.067774, 1.999000, 2.676000, 1363.016000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 147, 3.581483, -2.008707, 31.086816, 1.999000, 2.674000, 1372.438000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 148, 3.579865, -2.009602, 31.122822, 1.999000, 2.673000, 1381.860000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 149, 3.578124, -2.009201, 31.138027, 1.999000, 2.671000, 1391.250000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 150, 3.576591, -2.008949, 31.185322, 1.999000, 2.669000, 1400.703000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 151, 3.574988, -2.006657, 31.208267, 1.998800, 2.668000, 1410.094000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 152, 3.573220, -2.007840, 31.232339, 1.999000, 2.666000, 1419.469000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 153, 3.571815, -2.007236, 31.269570, 1.999000, 2.665000, 1428.828000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 154, 3.570197, -2.010080, 31.284968, 1.998800, 2.663000, 1438.219000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 155, 3.568500, -2.010369, 31.314599, 1.999000, 2.662000, 1447.578000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 156, 3.567043, -2.008730, 31.326946, 1.999000, 2.660000, 1456.938000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 157, 3.565272, -2.007228, 31.357038, 1.998800, 2.658000, 1466.281000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 158, 3.563771, -2.006197, 31.379720, 1.999000, 2.657000, 1475.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 159, 3.562157, -2.008969, 31.410263, 1.999000, 2.656000, 1485.063000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 160, 3.560730, -2.007490, 31.432302, 1.999000, 2.654000, 1494.422000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 161, 3.558970, -2.008160, 31.460503, 1.999000, 2.652000, 1503.797000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 162, 3.557468, -2.010564, 31.487710, 1.999000, 2.651000, 1513.188000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 163, 3.555970, -2.006419, 31.506176, 1.999000, 2.649000, 1522.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 164, 3.554518, -2.009067, 31.535037, 1.999000, 2.648000, 1532.031000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 165, 3.553123, -2.008943, 31.561321, 1.999000, 2.646000, 1541.344000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 166, 3.551419, -2.007743, 31.584114, 1.999000, 2.644000, 1550.781000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 167, 3.550160, -2.008247, 31.608769, 1.999000, 2.643000, 1560.188000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 168, 3.548440, -2.008266, 31.621909, 1.999000, 2.642000, 1569.563000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 169, 3.547044, -2.011246, 31.653028, 1.999000, 2.640000, 1579.016000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 170, 3.545724, -2.009047, 31.671610, 1.999000, 2.639000, 1588.422000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 171, 3.544205, -2.011065, 31.700171, 1.999000, 2.638000, 1597.828000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 172, 3.542704, -2.010953, 31.724915, 1.999000, 2.636000, 1607.235000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 173, 3.541266, -2.010592, 31.748691, 1.999000, 2.634000, 1616.610000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 174, 3.539848, -2.008943, 31.779330, 1.999000, 2.633000, 1626.016000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 175, 3.538387, -2.007971, 31.800135, 1.999000, 2.632000, 1635.438000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 176, 3.537133, -2.008224, 31.820825, 1.999000, 2.630000, 1644.844000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 177, 3.535525, -2.008271, 31.850941, 1.999000, 2.629000, 1654.235000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 178, 3.534341, -2.010771, 31.872234, 1.999000, 2.628000, 1663.641000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 179, 3.532906, -2.009521, 31.893085, 1.999000, 2.626000, 1673.078000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 180, 3.531717, -2.008910, 31.912169, 1.999000, 2.625000, 1682.485000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 181, 3.530268, -2.009533, 31.946116, 1.999000, 2.623000, 1691.844000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 182, 3.529116, -2.009786, 31.969740, 1.999000, 2.622000, 1701.250000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 183, 3.527614, -2.008057, 31.996612, 1.999000, 2.621000, 1710.656000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 184, 3.526252, -2.011033, 32.022398, 1.999000, 2.620000, 1720.016000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 185, 3.524797, -2.010023, 32.033438, 1.999000, 2.618000, 1729.422000, 1.855005
B0018, 3, 2008-07-07, 14:43:14.62, 186, 3.523634, -2.010879, 32.051369, 1.999000, 2.617000, 1738.875000, 1.855005
