Battery, Cycle_No, Date, Time, Temp, Reading_number, Sense_current_real, Sense_current_i, Battery_current_real, Battery_current_i, Current_ratio_real, Current_ratio_i, Battery_impedance_real, Battery_impedance_i, Rectified_Impedance_real, Rectified_Impedance_i, Re, Rct
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 1, 832.749573, -27.377193, 327.527618, -90.784203, 2.382645, 0.576835, 0.165410, -0.129054, 0.095315, -0.001692, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 2, 826.062866, -41.281601, 331.814270, -78.227036, 2.386236, 0.438156, 0.184693, -0.103414, 0.094603, -0.001341, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 3, 825.537292, -48.620728, 331.959442, -69.784584, 2.411099, 0.360396, 0.196978, -0.080310, 0.095362, -0.001274, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 4, 823.868347, -55.493103, 334.428040, -64.802528, 2.405353, 0.300154, 0.204299, -0.060645, 0.093830, -0.000859, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 5, 823.281555, -53.558281, 336.043701, -57.236576, 2.407235, 0.250633, 0.208267, -0.044601, 0.095265, -0.001046, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 6, 823.100159, -57.515717, 335.832581, -52.724892, 2.418207, 0.208390, 0.210067, -0.031961, 0.093065, 0.000117, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 7, 821.278198, -62.857071, 338.459625, -48.688995, 2.403495, 0.160039, 0.210521, -0.022314, 0.093728, -0.001973, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 8, 821.628357, -63.494469, 337.446198, -46.823341, 2.414464, 0.146864, 0.210177, -0.015181, 0.093054, -0.000911, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 9, 818.856567, -67.681351, 341.125763, -42.602161, 2.387987, 0.099823, 0.209382, -0.010081, 0.095100, -0.001507, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 10, 818.459106, -66.286957, 340.317108, -45.852879, 2.387884, 0.126953, 0.208351, -0.006570, 0.093493, -0.001434, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 11, 819.057129, -59.492165, 341.644897, -37.902142, 2.387329, 0.090716, 0.207208, -0.004256, 0.093202, -0.000833, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 12, 820.424683, -59.422104, 340.621429, -37.694561, 2.398543, 0.090981, 0.206026, -0.002802, 0.090996, -0.001771, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 13, 818.876953, -59.289574, 342.664062, -36.885876, 2.380775, 0.083252, 0.204837, -0.001927, 0.092678, -0.002564, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 14, 817.425720, -61.095551, 343.828949, -35.849083, 2.370180, 0.069433, 0.203657, -0.001402, 0.091067, -0.001170, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 15, 814.841797, -60.570953, 345.851044, -37.365818, 2.347568, 0.078496, 0.202486, -0.001046, 0.090845, -0.001424, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 16, 817.377563, -37.244884, 345.149872, -29.252926, 2.360372, 0.092142, 0.201316, -0.000724, 0.089276, -0.002723, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 17, 815.313232, -41.774300, 348.391571, -26.236317, 2.336003, 0.056011, 0.200133, -0.000338, 0.090217, -0.001920, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 18, 814.507629, -40.173729, 348.426880, -26.193237, 2.333154, 0.060096, 0.198917, 0.000174, 0.088999, -0.002215, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 19, 812.718933, -39.274761, 349.699860, -30.274593, 2.316409, 0.088229, 0.197648, 0.000845, 0.087676, -0.002164, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 20, 813.138855, -40.963829, 350.877014, -26.981522, 2.312749, 0.061097, 0.196303, 0.001677, 0.085046, -0.002452, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 21, 811.064270, -42.064064, 350.667389, -27.700836, 2.307990, 0.062364, 0.194861, 0.002652, 0.082762, -0.002743, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 22, 810.601257, 0.371559, 353.998474, -11.199279, 2.287521, 0.073419, 0.193303, 0.003730, 0.083294, -0.002759, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 23, 807.417236, 0.750357, 357.191132, -11.141542, 2.258200, 0.072539, 0.191617, 0.004859, 0.081327, -0.002864, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 24, 806.061096, 0.383507, 360.191956, -11.444206, 2.235575, 0.072095, 0.189795, 0.005973, 0.080919, -0.002687, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 25, 805.568604, 0.671564, 359.280243, -10.944798, 2.240038, 0.070108, 0.187842, 0.007001, 0.079833, -0.003427, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 26, 804.819275, 0.714544, 362.489624, -10.821497, 2.218219, 0.068192, 0.185771, 0.007866, 0.077020, -0.002567, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 27, 799.578552, -1.379562, 360.919769, -10.059821, 2.213778, 0.057882, 0.183606, 0.008496, 0.079962, -0.001021, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 28, 801.149231, -9.109135, 363.606384, -16.987370, 2.199711, 0.077716, 0.181386, 0.008824, 0.075652, -0.002580, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 29, 798.552124, -11.934626, 366.264679, -13.028032, 2.178662, 0.044910, 0.179160, 0.008788, 0.078386, -0.001704, 0.065158, 0.095554
B0018, 2, 2008-07-07, 14:43:14.62, 24.00, 30, 804.611755, -17.233416, 362.987885, -8.526828, 2.216527, 0.004591, 0.176991, 0.008340, 0.071873, -0.002612, 0.065158, 0.095554
